gle read:2.00 | controller signal:1300.40 | 
17:37:38.832 -> angle read:21.00 | controller signal:1570.70 | 
17:37:38.866 -> angle read:21.00 | controller signal:1575.00 | 
17:37:38.936 -> angle read:22.00 | controller signal:1575.00 | 
17:37:38.971 -> angle read:21.00 | controller signal:1579.00 | 
17:37:39.040 -> angle read:21.00 | controller signal:1579.00 | 
17:37:39.075 -> angle read:21.00 | controller signal:1583.00 | 
17:37:39.108 -> angle read:21.00 | controller signal:1583.00 | 
17:37:39.178 -> angle read:20.00 | controller signal:1592.30 | 
17:37:39.213 -> angle read:21.00 | controller signal:1592.30 | 
17:37:39.283 -> angle read:21.00 | controller signal:1591.70 | 
17:37:39.317 -> angle read:21.00 | controller signal:1591.70 | 
17:37:39.387 -> angle read:21.00 | controller signal:1596.00 | 
17:37:39.422 -> angle read:21.00 | controller signal:1596.00 | 
17:37:39.491 -> angle read:21.00 | controller signal:1596.00 | 
17:37:39.526 -> angle read:21.00 | controller signal:1600.00 | 
17:37:39.560 -> angle read:21.00 | controller signal:1600.00 | 
17:37:39.629 -> angle read:21.00 | controller signal:1604.00 | 
17:37:39.664 -> angle read:22.00 | controller signal:1604.00 | 
17:37:39.734 -> angle read:21.00 | controller signal:1608.00 | 
17:37:39.769 -> angle read:22.00 | controller signal:1608.00 | 
17:37:39.839 -> angle read:22.00 | controller signal:1608.00 | 
17:37:39.872 -> angle read:22.00 | controller signal:1606.70 | 
17:37:39.907 -> angle read:22.00 | controller signal:1606.70 | 
17:37:39.977 -> angle read:22.00 | controller signal:1610.00 | 
17:37:40.012 -> angle read:22.00 | controller signal:1610.00 | 
17:37:40.082 -> angle read:23.00 | controller signal:1610.00 | 
17:37:40.117 -> angle read:22.00 | controller signal:1613.00 | 
17:37:40.187 -> angle read:22.00 | controller signal:1613.00 | 
17:37:40.221 -> angle read:22.00 | controller signal:1616.00 | 
17:37:40.291 -> angle read:23.00 | controller signal:1616.00 | 
17:37:40.326 -> angle read:23.00 | controller signal:1613.70 | 
17:37:40.360 -> angle read:23.00 | controller signal:1613.70 | 
17:37:40.429 -> angle read:23.00 | controller signal:1613.70 | 
17:37:40.464 -> angle read:24.00 | controller signal:1610.70 | 
17:37:40.534 -> angle read:24.00 | controller signal:1610.70 | 
17:37:40.569 -> angle read:23.00 | controller signal:1617.30 | 
17:37:40.638 -> angle read:25.00 | controller signal:1617.30 | 
17:37:40.673 -> angle read:24.00 | controller signal:1617.30 | 
17:37:40.708 -> angle read:23.00 | controller signal:1619.00 | 
17:37:40.778 -> angle read:24.00 | controller signal:1619.00 | 
17:37:40.813 -> angle read:22.00 | controller signal:1626.30 | 
17:37:40.883 -> angle read:24.00 | controller signal:1626.30 | 
17:37:40.918 -> angle read:24.00 | controller signal:1618.40 | 
