gle read:2.00 | controller signal:1300.40 | 
17:37:55.464 -> angle read:25.00 | controller signal:1661.70 | 
17:37:55.499 -> angle read:24.00 | controller signal:1661.70 | 
17:37:55.566 -> angle read:25.00 | controller signal:1662.00 | 
17:37:55.601 -> angle read:25.00 | controller signal:1662.00 | 
17:37:55.635 -> angle read:25.00 | controller signal:1662.00 | 
17:37:55.705 -> angle read:25.00 | controller signal:1662.00 | 
17:37:55.739 -> angle read:24.00 | controller signal:1662.00 | 
17:37:55.809 -> angle read:25.00 | controller signal:1662.00 | 
17:37:55.844 -> angle read:25.00 | controller signal:1662.00 | 
17:37:55.914 -> angle read:26.00 | controller signal:1656.70 | 
17:37:55.948 -> angle read:26.00 | controller signal:1656.70 | 
17:37:56.018 -> angle read:24.00 | controller signal:1656.70 | 
17:37:56.053 -> angle read:25.00 | controller signal:1661.30 | 
17:37:56.088 -> angle read:24.00 | controller signal:1661.30 | 
17:37:56.158 -> angle read:24.00 | controller signal:1666.30 | 
17:37:56.193 -> angle read:24.00 | controller signal:1666.30 | 
17:37:56.263 -> angle read:23.00 | controller signal:1666.30 | 
17:37:56.298 -> angle read:23.00 | controller signal:1672.30 | 
17:37:56.366 -> angle read:23.00 | controller signal:1672.30 | 
17:37:56.401 -> angle read:23.00 | controller signal:1674.00 | 
17:37:56.469 -> angle read:23.00 | controller signal:1674.00 | 
17:37:56.504 -> angle read:23.00 | controller signal:1676.00 | 
17:37:56.539 -> angle read:23.00 | controller signal:1676.00 | 
17:37:56.609 -> angle read:22.00 | controller signal:1676.00 | 
17:37:56.643 -> angle read:24.00 | controller signal:1672.70 | 
17:37:56.712 -> angle read:24.00 | controller signal:1672.70 | 
17:37:56.747 -> angle read:25.00 | controller signal:1668.70 | 
17:37:56.817 -> angle read:25.00 | controller signal:1668.70 | 
17:37:56.852 -> angle read:25.00 | controller signal:1668.70 | 
17:37:56.887 -> angle read:26.00 | controller signal:1663.70 | 
17:37:56.957 -> angle read:26.00 | controller signal:1663.70 | 
17:37:56.992 -> angle read:26.00 | controller signal:1663.70 | 
17:37:57.061 -> angle read:27.00 | controller signal:1657.70 | 
17:37:57.096 -> angle read:27.00 | controller signal:1657.70 | 
17:37:57.166 -> angle read:27.00 | controller signal:1656.00 | 
17:37:57.201 -> angle read:26.00 | controller signal:1656.00 | 
17:37:57.271 -> angle read:26.00 | controller signal:1659.30 | 
17:37:57.306 -> angle read:26.00 | controller signal:1659.30 | 
17:37:57.341 -> angle read:26.00 | controller signal:1658.00 | 
17:37:57.411 -> angle read:26.00 | controller signal:1658.00 | 
17:37:57.445 -> angle read:25.00 | controller signal:1658.00 | 
17:37:57.515 -> angle read:25.00 | controller signal:1662.30 | 
17:37:57.550 -> angle read:25.00 | controller signal:1662.30 | 
17:37:57.585 -> angle read:25.00 | controller signal:1662.30 | 
17:37:57.654 -> angle read:25.00 | controller signal:1662.00 | 
17:37:57.689 -> angle read:24.00 | controller signal:1662.00 | 
17:37:57.758 -> angle read:24.00 | controller signal:1667.30 | 
17:37:57.792 -> angle read:24.00 | controller signal:1667.30 | 
17:37:57.862 -> angle read:25.00 | controller signal:1662.70 | 
17:37:57.897 -> angle read:24.00 | controller signal:1662.70 | 
17:37:57.967 -> angle read:24.00 | controller signal:1668.30 | 
17:37:58.002 -> angle read:24.00 | controller signal:1668.30 | 
17:37:58.037 -> angle read:24.00 | controller signal:1668.30 | 
17:37:58.106 -> angle read:25.00 | controller signal:1663.70 | 
17:37:58.141 -> angle read:25.00 | controller signal:1663.70 | 
17:37:58.210 -> angle read:25.00 | controller signal:1663.70 | 
17:37:58.244 -> angle read:25.00 | controller signal:1664.00 | 
17:37:58.314 -> angle read:25.00 | controller signal:1664.00 | 
17:37:58.349 -> angle read:26.00 | controller signal:1658.70 | 
17:37:58.384 -> angle read:25.00 | controller signal:1658.70 | 
17:37:58.454 -> angle read:25.00 | controller signal:1663.30 | 
17:37:58.489 -> angle read:25.00 | controller signal:1663.30 | 
17:37:58.558 -> angle read:25.00 | controller signal:1663.00 | 
17:37:58.593 -> angle read:25.00 | controller signal:1663.00 | 
17:37:58.661 -> angle read:25.00 | controller signal:1663.00 | 
17:37:58.696 -> angle read:25.00 | controller signal:1663.00 | 
17:37:58.766 -> angle read:25.00 | controller signal:1663.00 | 
17:37:58.801 -> angle read:25.00 | controller signal:1663.00 | 
17:37:58.836 -> angle read:25.00 | controller signal:1663.00 | 
17:37:58.906 -> angle read:26.00 | controller signal:1663.00 | 
17:37:58.940 -> angle read:25.00 | controller signal:1663.00 | 
17:37:59.010 -> angle read:25.00 | controller signal:1663.00 | 
17:37:59.045 -> angle read:25.00 | controller signal:1663.00 | 
17:37:59.114 -> angle read:24.00 | controller signal:1663.00 | 
17:37:59.148 -> angle read:25.00 | controller signal:1663.00 | 
17:37:59.183 -> angle read:25.00 | controller signal:1663.00 | 
17:37:59.252 -> angle read:24.00 | controller signal:1668.30 | 
17:37:59.286 -> angle read:25.00 | controller signal:1668.30 | 
17:37:59.355 -> angle read:24.00 | controller signal:1669.00 | 
17:37:59.390 -> angle read:25.00 | controller signal:1669.00 | 
17:37:59.460 -> angle read:25.00 | controller signal:1669.00 | 
17:37:59.495 -> angle read:24.00 | controller signal:1670.00 | 
17:37:59.530 -> angle read:25.00 | controller signal:1670.00 | 
17:37:59.600 -> angle read:25.00 | controller signal:1665.70 | 
17:37:59.635 -> angle read:25.00 | controller signal:1665.70 | 
17:37:59.703 -> angle read:25.00 | controller signal:1666.00 | 
17:37:59.738 -> angle read:25.00 | controller signal:1666.00 | 
17:37:59.807 -> angle read:25.00 | controller signal:1666.00 | 
17:37:59.842 -> angle read:25.00 | controller signal:1666.00 | 
17:37:59.912 -> angle read:25.00 | controller signal:1666.00 | 
17:37:59.947 -> angle read:25.00 | controller signal:1666.00 | 
17:37:59.982 -> angle read:25.00 | controller signal:1666.00 | 
17:38:00.051 -> angle read:25.00 | controller signal:1666.00 | 
17:38:00.086 -> angle read:25.00 | controller signal:1666.00 | 
17:38:00.155 -> angle read:24.00 | controller signal:1666.00 | 
17:38:00.190 -> angle read:23.00 | controller signal:1676.60 | 
17:38:00.258 -> angle read:22.00 | controller signal:1676.60 | 
17:38:00.293 -> angle read:22.00 | controller signal:1683.30 | 
17:38:00.361 -> angle read:21.00 | controller signal:1683.30 | 
17:38:00.396 -> angle read:21.00 | controller signal:1683.30 | 
17:38:00.464 -> angle read:21.00 | controller signal:1691.30 | 
17:38:00.499 -> angle read:21.00 | controller signal:1691.30 | 
17:38:00.533 -> angle read:21.00 | controller signal:1695.00 | 
17:38:00.602 -> angle read:21.00 | controller signal:1695.00 | 
17:38:00.637 -> angle read:22.00 | controller signal:1695.00 | 
17:38:00.707 -> angle read:23.00 | controller signal:1688.40 | 
17:38:00.742 -> angle read:24.00 | controller signal:1688.40 | 
17:38:00.810 -> angle read:25.00 | controller signal:1680.40 | 
17:38:00.845 -> angle read:26.00 | controller signal:1680.40 | 
17:38:00.915 -> angle read:27.00 | controller signal:1670.40 | 
17:38:00.950 -> angle read:27.00 | controller signal:1670.40 | 
17:38:00.985 -> angle read:28.00 | controller signal:1670.40 | 
17:38:01.055 -> angle read:29.00 | controller signal:1658.40 | 
17:38:01.089 -> angle read:29.00 | controller signal:1658.40 | 
17:38:01.158 -> angle read:29.00 | controller signal:1655.00 | 
17:38:01.193 -> angle read:29.00 | controller signal:1655.00 | 
17:38:01.263 -> angle read:29.00 | controller signal:1655.00 | 
17:38:01.298 -> angle read:29.00 | controller signal:1651.00 | 
17:38:01.332 -> angle read:28.00 | controller signal:1651.00 | 
17:38:01.402 -> angle read:28.00 | controller signal:1652.30 | 
17:38:01.436 -> angle read:27.00 | controller signal:1652.30 | 
17:38:01.505 -> angle read:26.00 | controller signal:1659.60 | 
17:38:01.539 -> angle read:25.00 | controller signal:1659.60 | 
17:38:01.607 -> angle read:24.00 | controller signal:1659.60 | 
17:38:01.642 -> angle read:24.00 | controller signal:1668.60 | 
17:38:01.711 -> angle read:23.00 | controller signal:1668.60 | 
17:38:01.746 -> angle read:22.00 | controller signal:1679.60 | 
17:38:01.781 -> angle read:21.00 | controller signal:1679.60 | 
17:38:01.851 -> angle read:21.00 | controller signal:1679.60 | 
17:38:01.886 -> angle read:21.00 | controller signal:1687.30 | 
17:38:01.954 -> angle read:21.00 | controller signal:1687.30 | 
17:38:01.989 -> angle read:21.00 | controller signal:1687.30 | 
17:38:02.059 -> angle read:21.00 | controller signal:1691.00 | 
17:38:02.094 -> angle read:22.00 | controller signal:1691.00 | 
17:38:02.129 -> angle read:23.00 | controller signal:1684.40 | 
17:38:02.199 -> angle read:23.00 | controller signal:1684.40 | 
17:38:02.234 -> angle read:24.00 | controller signal:1681.70 | 
17:38:02.302 -> angle read:26.00 | controller signal:1681.70 | 
17:38:02.337 -> angle read:26.00 | controller signal:1672.40 | 
17:38:02.405 -> angle read:27.00 | controller signal:1672.40 | 
17:38:02.439 -> angle read:27.00 | controller signal:1672.40 | 
17:38:02.508 -> angle read:27.00 | controller signal:1666.70 | 
17:38:02.543 -> angle read:28.00 | controller signal:1666.70 | 
17:38:02.578 -> angle read:28.00 | controller signal:1666.70 | 
17:38:02.648 -> angle read:30.00 | controller signal:1649.10 | 
17:38:02.681 -> angle read:29.00 | controller signal:1649.10 | 
17:38:02.751 -> angle read:29.00 | controller signal:1650.30 | 
17:38:02.786 -> angle read:29.00 | controller signal:1650.30 | 
17:38:02.856 -> angle read:27.00 | controller signal:1656.60 | 
17:38:02.891 -> angle read:27.00 | controller signal:1656.60 | 
17:38:02.926 -> angle read:26.00 | controller signal:1659.30 | 
17:38:02.996 -> angle read:26.00 | controller signal:1659.30 | 
17:38:03.031 -> angle read:25.00 | controller signal:1659.30 | 
17:38:03.100 -> angle read:24.00 | controller signal:1668.60 | 
17:38:03.135 -> angle read:24.00 | controller signal:1668.60 | 
17:38:03.204 -> angle read:23.00 | controller signal:1668.60 | 
17:38:03.238 -> angle read:23.00 | controller signal:1674.30 | 
17:38:03.307 -> angle read:22.00 | controller signal:1674.30 | 
17:38:03.342 -> angle read:20.00 | controller signal:1691.90 | 
17:38:03.377 -> angle read:22.00 | controller signal:1691.90 | 
17:38:03.446 -> angle read:22.00 | controller signal:1685.40 | 
17:38:03.480 -> angle read:22.00 | controller signal:1685.40 | 
17:38:03.549 -> angle read:22.00 | controller signal:1689.00 | 
17:38:03.584 -> angle read:22.00 | controller signal:1689.00 | 
17:38:03.654 -> angle read:23.00 | controller signal:1689.00 | 
17:38:03.689 -> angle read:24.00 | controller signal:1681.40 | 
17:38:03.759 -> angle read:24.00 | controller signal:1681.40 | 
17:38:03.792 -> angle read:25.00 | controller signal:1681.40 | 
17:38:03.827 -> angle read:26.00 | controller signal:1672.40 | 
17:38:03.897 -> angle read:26.00 | controller signal:1672.40 | 
17:38:03.932 -> angle read:27.00 | controller signal:1666.70 | 
17:38:04.002 -> angle read:27.00 | controller signal:1666.70 | 
17:38:04.037 -> angle read:27.00 | controller signal:1665.00 | 
17:38:04.107 -> angle read:28.00 | controller signal:1665.00 | 
17:38:04.142 -> angle read:28.00 | controller signal:1657.70 | 
17:38:04.176 -> angle read:28.00 | controller signal:1657.70 | 
17:38:04.246 -> angle read:28.00 | controller signal:1655.00 | 
17:38:04.281 -> angle read:29.00 | controller signal:1655.00 | 
17:38:04.351 -> angle read:27.00 | controller signal:1657.30 | 
17:38:04.386 -> angle read:27.00 | controller signal:1657.30 | 
17:38:04.456 -> angle read:27.00 | controller signal:1657.30 | 
17:38:04.491 -> angle read:26.00 | controller signal:1660.30 | 
17:38:04.560 -> angle read:25.00 | controller signal:1660.30 | 
17:38:04.595 -> angle read:25.00 | controller signal:1664.30 | 
17:38:04.630 -> angle read:24.00 | controller signal:1664.30 | 
17:38:04.700 -> angle read:24.00 | controller signal:1669.30 | 
17:38:04.735 -> angle read:23.00 | controller signal:1669.30 | 
17:38:04.805 -> angle read:22.00 | controller signal:1669.30 | 
17:38:04.840 -> angle read:22.00 | controller signal:1680.60 | 
17:38:04.908 -> angle read:22.00 | controller signal:1680.60 | 
17:38:04.943 -> angle read:23.00 | controller signal:1677.70 | 
17:38:04.978 -> angle read:22.00 | controller signal:1677.70 | 
17:38:05.046 -> angle read:22.00 | controller signal:1677.70 | 
17:38:05.081 -> angle read:23.00 | controller signal:1680.00 | 
17:38:05.149 -> angle read:23.00 | controller signal:1680.00 | 
17:38:05.184 -> angle read:24.00 | controller signal:1676.70 | 
17:38:05.254 -> angle read:24.00 | controller signal:1676.70 | 
17:38:05.288 -> angle read:23.00 | controller signal:1683.30 | 
17:38:05.358 -> angle read:25.00 | controller signal:1683.30 | 
17:38:05.393 -> angle read:25.00 | controller signal:1683.30 | 
17:38:05.428 -> angle read:25.00 | controller signal:1674.40 | 
17:38:05.497 -> angle read:26.00 | controller signal:1674.40 | 
17:38:05.531 -> angle read:26.00 | controller signal:1669.70 | 
17:38:05.600 -> angle read:27.00 | controller signal:1669.70 | 
17:38:05.635 -> angle read:27.00 | controller signal:1669.70 | 
17:38:05.703 -> angle read:27.00 | controller signal:1663.70 | 
17:38:05.737 -> angle read:27.00 | controller signal:1663.70 | 
17:38:05.772 -> angle read:27.00 | controller signal:1662.00 | 
17:38:05.840 -> angle read:27.00 | controller signal:1662.00 | 
17:38:05.875 -> angle read:26.00 | controller signal:1665.30 | 
17:38:05.945 -> angle read:26.00 | controller signal:1665.30 | 
17:38:05.980 -> angle read:26.00 | controller signal:1665.30 | 
17:38:06.049 -> angle read:25.00 | controller signal:1669.30 | 
17:38:06.084 -> angle read:25.00 | controller signal:1669.30 | 
17:38:06.153 -> angle read:25.00 | controller signal:1669.00 | 
17:38:06.188 -> angle read:25.00 | controller signal:1669.00 | 
17:38:06.223 -> angle read:24.00 | controller signal:1669.00 | 
17:38:06.293 -> angle read:23.00 | controller signal:1679.60 | 
17:38:06.328 -> angle read:24.00 | controller signal:1679.60 | 
17:38:06.397 -> angle read:23.00 | controller signal:1681.00 | 
17:38:06.430 -> angle read:24.00 | controller signal:1681.00 | 
17:38:06.500 -> angle read:23.00 | controller signal:1683.00 | 
17:38:06.535 -> angle read:23.00 | controller signal:1683.00 | 
17:38:06.605 -> angle read:24.00 | controller signal:1683.00 | 
17:38:06.640 -> angle read:24.00 | controller signal:1679.70 | 
17:38:06.675 -> angle read:24.00 | controller signal:1679.70 | 
17:38:06.744 -> angle read:25.00 | controller signal:1675.70 | 
17:38:06.778 -> angle read:25.00 | controller signal:1675.70 | 
17:38:06.847 -> angle read:25.00 | controller signal:1675.70 | 
17:38:06.882 -> angle read:26.00 | controller signal:1670.70 | 
17:38:06.952 -> angle read:26.00 | controller signal:1670.70 | 
17:38:06.987 -> angle read:26.00 | controller signal:1670.70 | 
17:38:07.056 -> angle read:26.00 | controller signal:1670.00 | 
17:38:07.091 -> angle read:26.00 | controller signal:1670.00 | 
17:38:07.126 -> angle read:26.00 | controller signal:1669.00 | 
17:38:07.195 -> angle read:26.00 | controller signal:1669.00 | 
17:38:07.230 -> angle read:26.00 | controller signal:1668.00 | 
17:38:07.299 -> angle read:26.00 | controller signal:1668.00 | 
17:38:07.334 -> angle read:26.00 | controller signal:1667.00 | 
17:38:07.404 -> angle read:25.00 | controller signal:1667.00 | 
17:38:07.439 -> angle read:25.00 | controller signal:1667.00 | 
17:38:07.474 -> angle read:25.00 | controller signal:1671.30 | 
17:38:07.543 -> angle read:25.00 | controller signal:1671.30 | 
17:38:07.578 -> angle read:25.00 | controller signal:1671.30 | 
17:38:07.647 -> angle read:25.00 | controller signal:1671.00 | 
17:38:07.682 -> angle read:25.00 | controller signal:1671.00 | 
17:38:07.751 -> angle read:25.00 | controller signal:1671.00 | 
17:38:07.786 -> angle read:25.00 | controller signal:1671.00 | 
17:38:07.821 -> angle read:24.00 | controller signal:1676.30 | 
17:38:07.890 -> angle read:24.00 | controller signal:1676.30 | 
17:38:07.925 -> angle read:25.00 | controller signal:1671.70 | 
17:38:07.994 -> angle read:25.00 | controller signal:1671.70 | 
17:38:08.029 -> angle read:25.00 | controller signal:1671.70 | 
17:38:08.099 -> angle read:24.00 | controller signal:1677.30 | 
17:38:08.134 -> angle read:25.00 | controller signal:1677.30 | 
17:38:08.203 -> angle read:25.00 | controller signal:1677.30 | 
17:38:08.238 -> angle read:25.00 | controller signal:1672.70 | 
17:38:08.272 -> angle read:25.00 | controller signal:1672.70 | 
17:38:08.342 -> angle read:25.00 | controller signal:1673.00 | 
17:38:08.377 -> angle read:25.00 | controller signal:1673.00 | 
17:38:08.446 -> angle read:25.00 | controller signal:1673.00 | 
17:38:08.481 -> angle read:26.00 | controller signal:1673.00 | 
17:38:08.551 -> angle read:25.00 | controller signal:1673.00 | 
17:38:08.586 -> angle read:25.00 | controller signal:1673.00 | 
17:38:08.620 -> angle read:25.00 | controller signal:1673.00 | 
17:38:08.688 -> angle read:26.00 | controller signal:1667.70 | 
17:38:08.723 -> angle read:26.00 | controller signal:1667.70 | 
17:38:08.793 -> angle read:26.00 | controller signal:1667.70 | 
17:38:08.828 -> angle read:25.00 | controller signal:1672.30 | 
17:38:08.898 -> angle read:26.00 | controller signal:1672.30 | 
17:38:08.933 -> angle read:25.00 | controller signal:1672.00 | 
17:38:09.003 -> angle read:25.00 | controller signal:1672.00 | 
17:38:09.037 -> angle read:25.00 | controller signal:1672.00 | 
17:38:09.072 -> angle read:25.00 | controller signal:1672.00 | 
17:38:09.140 -> angle read:25.00 | controller signal:1672.00 | 
17:38:09.175 -> angle read:26.00 | controller signal:1672.00 | 
17:38:09.245 -> angle read:26.00 | controller signal:1666.70 | 
17:38:09.280 -> angle read:25.00 | controller signal:1666.70 | 
17:38:09.349 -> angle read:25.00 | controller signal:1671.30 | 
17:38:09.383 -> angle read:26.00 | controller signal:1671.30 | 
17:38:09.417 -> angle read:26.00 | controller signal:1671.30 | 
17:38:09.486 -> angle read:25.00 | controller signal:1671.00 | 
17:38:09.521 -> angle read:25.00 | controller signal:1671.00 | 
17:38:09.590 -> angle read:25.00 | controller signal:1671.00 | 
17:38:09.624 -> angle read:25.00 | controller signal:1671.00 | 
17:38:09.693 -> angle read:26.00 | controller signal:1665.70 | 
17:38:09.728 -> angle read:25.00 | controller signal:1665.70 | 
17:38:09.797 -> angle read:25.00 | controller signal:1665.70 | 
17:38:09.832 -> angle read:25.00 | controller signal:1670.30 | 
17:38:09.902 -> angle read:26.00 | controller signal:1670.30 | 
17:38:09.937 -> angle read:26.00 | controller signal:1664.70 | 
17:38:09.972 -> angle read:25.00 | controller signal:1664.70 | 
17:38:10.042 -> angle read:25.00 | controller signal:1664.70 | 
17:38:10.077 -> angle read:25.00 | controller signal:1669.30 | 
17:38:10.146 -> angle read:26.00 | controller signal:1669.30 | 
17:38:10.181 -> angle read:26.00 | controller signal:1663.70 | 
17:38:10.216 -> angle read:25.00 | controller signal:1663.70 | 
17:38:10.285 -> angle read:25.00 | controller signal:1668.30 | 
17:38:10.320 -> angle read:26.00 | controller signal:1668.30 | 
17:38:10.390 -> angle read:25.00 | controller signal:1668.30 | 
17:38:10.425 -> angle read:25.00 | controller signal:1668.00 | 
17:38:10.494 -> angle read:25.00 | controller signal:1668.00 | 
17:38:10.528 -> angle read:25.00 | controller signal:1668.00 | 
17:38:10.597 -> angle read:25.00 | controller signal:1668.00 | 
17:38:10.631 -> angle read:26.00 | controller signal:1668.00 | 
17:38:10.701 -> angle read:25.00 | controller signal:1668.00 | 
17:38:10.736 -> angle read:26.00 | controller signal:1668.00 | 
17:38:10.771 -> angle read:25.00 | controller signal:1668.00 | 
17:38:10.841 -> angle read:25.00 | controller signal:1668.00 | 
17:38:10.876 -> angle read:25.00 | controller signal:1668.00 | 
17:38:10.945 -> angle read:25.00 | controller signal:1668.00 | 
17:38:10.979 -> angle read:25.00 | controller signal:1668.00 | 
17:38:11.049 -> angle read:25.00 | controller signal:1668.00 | 
17:38:11.084 -> angle read:25.00 | controller signal:1668.00 | 
17:38:11.119 -> angle read:25.00 | controller signal:1668.00 | 
17:38:11.188 -> angle read:25.00 | controller signal:1668.00 | 
17:38:11.223 -> angle read:26.00 | controller signal:1668.00 | 
17:38:11.291 -> angle read:25.00 | controller signal:1668.00 | 
17:38:11.325 -> angle read:26.00 | controller signal:1668.00 | 
17:38:11.395 -> angle read:26.00 | controller signal:1662.70 | 
17:38:11.430 -> angle read:25.00 | controller signal:1662.70 | 
17:38:11.500 -> angle read:25.00 | controller signal:1667.30 | 
17:38:11.535 -> angle read:26.00 | controller signal:1667.30 | 
17:38:11.569 -> angle read:25.00 | controller signal:1667.30 | 
17:38:11.639 -> angle read:25.00 | controller signal:1667.00 | 
17:38:11.672 -> angle read:25.00 | controller signal:1667.00 | 
17:38:11.741 -> angle read:25.00 | controller signal:1667.00 | 
17:38:11.776 -> angle read:25.00 | controller signal:1667.00 | 
17:38:11.846 -> angle read:25.00 | controller signal:1667.00 | 
17:38:11.881 -> angle read:25.00 | controller signal:1667.00 | 
17:38:11.951 -> angle read:25.00 | controller signal:1667.00 | 
17:38:11.986 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.018 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.088 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.122 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.192 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.227 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.297 -> angle read:26.00 | controller signal:1667.00 | 
17:38:12.332 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.367 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.436 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.471 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.541 -> angle read:25.00 | controller signal:1667.00 | 
17:38:12.576 -> angle read:24.00 | controller signal:1667.00 | 
17:38:12.646 -> angle read:23.00 | controller signal:1677.60 | 
17:38:12.681 -> angle read:22.00 | controller signal:1677.60 | 
17:38:12.716 -> angle read:22.00 | controller signal:1684.30 | 
17:38:12.785 -> angle read:22.00 | controller signal:1684.30 | 
17:38:12.819 -> angle read:22.00 | controller signal:1687.00 | 
17:38:12.889 -> angle read:22.00 | controller signal:1687.00 | 
17:38:12.924 -> angle read:22.00 | controller signal:1690.00 | 
17:38:12.994 -> angle read:22.00 | controller signal:1690.00 | 
17:38:13.029 -> angle read:22.00 | controller signal:1690.00 | 
17:38:13.064 -> angle read:23.00 | controller signal:1687.70 | 
17:38:13.133 -> angle read:24.00 | controller signal:1687.70 | 
17:38:13.168 -> angle read:24.00 | controller signal:1687.70 | 
17:38:13.238 -> angle read:25.00 | controller signal:1679.40 | 
17:38:13.273 -> angle read:26.00 | controller signal:1679.40 | 
17:38:13.343 -> angle read:27.00 | controller signal:1669.40 | 
17:38:13.378 -> angle read:27.00 | controller signal:1669.40 | 
17:38:13.448 -> angle read:27.00 | controller signal:1668.00 | 
17:38:13.483 -> angle read:27.00 | controller signal:1668.00 | 
17:38:13.517 -> angle read:28.00 | controller signal:1660.70 | 
17:38:13.587 -> angle read:28.00 | controller signal:1660.70 | 
17:38:13.621 -> angle read:28.00 | controller signal:1660.70 | 
17:38:13.691 -> angle read:28.00 | controller signal:1658.00 | 
17:38:13.726 -> angle read:27.00 | controller signal:1658.00 | 
17:38:13.796 -> angle read:27.00 | controller signal:1658.00 | 
17:38:13.830 -> angle read:26.00 | controller signal:1665.60 | 
17:38:13.865 -> angle read:26.00 | controller signal:1665.60 | 
17:38:13.933 -> angle read:25.00 | controller signal:1669.30 | 
17:38:13.968 -> angle read:25.00 | controller signal:1669.30 | 
17:38:14.038 -> angle read:24.00 | controller signal:1674.30 | 
17:38:14.073 -> angle read:23.00 | controller signal:1674.30 | 
17:38:14.143 -> angle read:23.00 | controller signal:1680.30 | 
17:38:14.178 -> angle read:22.00 | controller signal:1680.30 | 
17:38:14.248 -> angle read:22.00 | controller signal:1687.30 | 
17:38:14.282 -> angle read:22.00 | controller signal:1687.30 | 
17:38:14.317 -> angle read:22.00 | controller signal:1690.00 | 
17:38:14.386 -> angle read:22.00 | controller signal:1690.00 | 
17:38:14.421 -> angle read:22.00 | controller signal:1690.00 | 
17:38:14.491 -> angle read:23.00 | controller signal:1687.70 | 
17:38:14.526 -> angle read:23.00 | controller signal:1687.70 | 
17:38:14.595 -> angle read:24.00 | controller signal:1684.70 | 
17:38:14.629 -> angle read:24.00 | controller signal:1684.70 | 
17:38:14.664 -> angle read:25.00 | controller signal:1680.70 | 
17:38:14.733 -> angle read:25.00 | controller signal:1680.70 | 
17:38:14.768 -> angle read:26.00 | controller signal:1680.70 | 
17:38:14.838 -> angle read:27.00 | controller signal:1670.40 | 
17:38:14.873 -> angle read:27.00 | controller signal:1670.40 | 
17:38:14.943 -> angle read:27.00 | controller signal:1669.00 | 
17:38:14.978 -> angle read:27.00 | controller signal:1669.00 | 
17:38:15.046 -> angle read:27.00 | controller signal:1669.00 | 
17:38:15.081 -> angle read:28.00 | controller signal:1661.70 | 
17:38:15.116 -> angle read:27.00 | controller signal:1661.70 | 
17:38:15.186 -> angle read:27.00 | controller signal:1664.30 | 
17:38:15.221 -> angle read:27.00 | controller signal:1664.30 | 
17:38:15.291 -> angle read:27.00 | controller signal:1662.00 | 
17:38:15.326 -> angle read:26.00 | controller signal:1662.00 | 
17:38:15.395 -> angle read:26.00 | controller signal:1662.00 | 
17:38:15.430 -> angle read:25.00 | controller signal:1670.60 | 
17:38:15.465 -> angle read:25.00 | controller signal:1670.60 | 
17:38:15.535 -> angle read:24.00 | controller signal:1675.30 | 
17:38:15.570 -> angle read:24.00 | controller signal:1675.30 | 
17:38:15.640 -> angle read:23.00 | controller signal:1675.30 | 
17:38:15.675 -> angle read:23.00 | controller signal:1681.30 | 
17:38:15.710 -> angle read:23.00 | controller signal:1681.30 | 
17:38:15.779 -> angle read:22.00 | controller signal:1688.30 | 
17:38:15.814 -> angle read:23.00 | controller signal:1688.30 | 
17:38:15.884 -> angle read:23.00 | controller signal:1685.70 | 
17:38:15.919 -> angle read:23.00 | controller signal:1685.70 | 
17:38:15.989 -> angle read:23.00 | controller signal:1685.70 | 
17:38:16.024 -> angle read:23.00 | controller signal:1688.00 | 
17:38:16.094 -> angle read:24.00 | controller signal:1688.00 | 
17:38:16.128 -> angle read:25.00 | controller signal:1679.40 | 
17:38:16.162 -> angle read:25.00 | controller signal:1679.40 | 
17:38:16.232 -> angle read:26.00 | controller signal:1679.40 | 
17:38:16.267 -> angle read:25.00 | controller signal:1680.00 | 
17:38:16.335 -> angle read:26.00 | controller signal:1680.00 | 
17:38:16.370 -> angle read:26.00 | controller signal:1674.70 | 
17:38:16.438 -> angle read:27.00 | controller signal:1674.70 | 
17:38:16.472 -> angle read:27.00 | controller signal:1668.70 | 
17:38:16.541 -> angle read:27.00 | controller signal:1668.70 | 
17:38:16.576 -> angle read:27.00 | controller signal:1668.70 | 
17:38:16.611 -> angle read:27.00 | controller signal:1667.00 | 
17:38:16.680 -> angle read:27.00 | controller signal:1667.00 | 
17:38:16.715 -> angle read:26.00 | controller signal:1670.30 | 
17:38:16.784 -> angle read:26.00 | controller signal:1670.30 | 
17:38:16.818 -> angle read:25.00 | controller signal:1670.30 | 
17:38:16.886 -> angle read:25.00 | controller signal:1674.30 | 
17:38:16.921 -> angle read:25.00 | controller signal:1674.30 | 
17:38:16.991 -> angle read:24.00 | controller signal:1674.30 | 
17:38:17.026 -> angle read:24.00 | controller signal:1679.30 | 
17:38:17.094 -> angle read:23.00 | controller signal:1679.30 | 
17:38:17.129 -> angle read:23.00 | controller signal:1685.30 | 
17:38:17.164 -> angle read:23.00 | controller signal:1685.30 | 
